batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
2,100,303,3.03,206846,13768,92.869203,14408,7.462269,1875,682,1193,100,193078,16612,16825
2,100,300,3.00,204800,40222,75.560524,20718,12.588560,6912,2545,4367,100,164578,30226,28507
2,100,300,3.00,204800,54866,63.406566,24589,16.399883,12109,4463,7646,100,149934,41039,41140
2,100,300,3.00,204800,48554,68.924644,28072,17.966540,12902,5696,7206,100,156246,44236,45313
2,100,300,3.00,204800,55098,63.194880,26482,17.689810,15114,7117,7997,100,149702,45202,44431
2,100,300,3.00,204800,50539,67.237993,27492,17.821744,14686,7404,7282,100,154261,44916,43234
2,100,300,3.00,204800,53694,64.466004,26769,17.715379,15275,7617,7658,100,151106,45279,42951
2,100,300,3.00,204800,51554,66.358665,26937,17.577620,14996,7715,7281,100,153246,44241,42585
2,100,300,3.00,204800,48711,68.792804,25886,16.584128,14109,7010,7099,100,156089,41696,40830
2,100,300,3.00,204800,48759,68.752443,25336,16.236758,14690,7591,7099,100,156041,40314,40167
2,100,300,3.00,204800,41604,74.506728,26481,16.226501,13110,7079,6031,100,163196,39499,39223
2,100,300,3.00,204800,45151,71.718583,26612,16.669068,14915,7965,6950,100,159649,40712,38756
2,100,300,3.00,204800,47886,69.482647,27905,17.783627,15915,8440,7475,100,156914,43573,40150
2,100,300,3.00,204800,49425,68.189863,28430,18.297667,15736,7599,8137,100,155375,44604,44658
2,100,300,3.00,204800,47847,69.515078,30119,19.189821,15858,8152,7706,100,156953,47535,46826
2,100,300,3.00,204800,48276,69.157446,30244,19.322276,15863,7939,7924,100,156524,47846,47053
2,100,300,3.00,204800,45616,71.343854,27935,17.548874,15341,7744,7597,100,159184,43001,42545
2,100,300,3.00,204800,49517,68.111770,24515,15.787304,16832,8333,8499,100,155283,39179,40400
2,100,300,3.00,204800,89584,22.246910,16134,14.003263,26703,9623,17080,100,115216,41754,41435
4,100,303,3.03,413692,63799,81.766140,34524,9.867016,6433,1735,4698,100,349893,47590,48190
4,100,302,3.02,409600,117204,59.916004,50279,17.195516,23805,9767,14038,100,292396,88223,85392
4,100,300,3.00,409600,108541,63.946934,52674,17.496238,30286,14727,15559,100,301059,88536,89707
4,100,300,3.00,409600,98759,68.228451,54791,17.626697,29419,15094,14325,100,310841,87371,88090
4,100,300,3.00,409600,104073,65.936562,51807,16.956603,32484,17061,15423,100,305527,84143,83111
4,100,300,3.00,409600,86261,73.321808,53083,16.417135,27302,14651,12651,100,323339,79827,81779
4,100,300,3.00,409600,95188,69.725074,56660,18.020941,30516,15357,15159,100,314412,87362,87143
4,100,300,3.00,409600,105408,65.348201,57382,18.863744,35719,17424,18295,100,304192,92126,91879
4,100,300,3.00,409600,117642,59.705848,48376,16.569507,37731,17482,20249,100,291958,83190,83774
4,100,299,2.99,281261,151737,-17.149717,18054,13.938730,46846,15872,30974,100,129524,61400,64253
4,100,303,3.03,413692,67871,80.373951,37087,10.724334,10670,3827,6843,100,345821,52835,51613
4,100,302,3.02,409600,111418,62.634230,56007,18.782824,24645,9981,14664,100,298182,94149,94829
4,100,300,3.00,409600,108004,64.189180,57114,18.937254,28862,14081,14781,100,301596,96758,97835
4,100,300,3.00,409600,98986,68.132151,59945,19.298873,27406,14433,12973,100,310614,96689,95465
4,100,300,3.00,409600,97127,68.916674,57539,18.414071,27743,14544,13199,100,312473,92551,90099
4,100,300,3.00,409600,89661,71.975595,57809,18.068757,28469,15381,13088,100,319939,88037,87242
4,100,300,3.00,409600,101182,67.193225,61242,19.856818,30953,16083,14870,100,308418,98140,94806
4,100,300,3.00,409600,113053,61.876869,60959,20.556269,33958,16961,16997,100,296547,104933,99304
4,100,300,3.00,409600,124145,56.509783,50929,17.841341,35269,16289,18980,100,285455,94685,90720
