batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
4,3684,10509,2.85,117888,1165,99.001911,19115,16.376378,590,551,39,3684,116723,19587,19687
4,3703,10507,2.84,118496,874,99.256942,19096,16.235058,446,398,48,3703,117622,19494,20058
4,3702,10548,2.85,118464,694,99.410716,19103,16.220599,380,360,20,3702,117770,19365,20315
4,3684,10502,2.85,117864,297,99.747378,19013,16.172055,169,166,3,3684,117567,19149,19762
8,1,5,5.00,120,0,100.000000,3,2.500000,0,0,0,1,120,3,2
8,1690,4923,2.91,108160,5000,95.153160,16152,15.657231,2318,1944,374,1690,103160,18300,17803
8,1849,5382,2.91,118336,5183,95.419476,17396,15.373874,2373,2063,310,1849,113153,19356,18899
8,1852,5401,2.92,118528,5156,95.452140,16905,14.911089,2289,1967,322,1852,113372,18801,18461
8,1852,5397,2.91,118528,5745,94.906147,16714,14.819609,2466,2108,358,1852,112783,18784,18144
8,1846,5391,2.92,118144,4766,95.796363,16943,14.943816,2072,1768,304,1846,113378,18703,18406
8,1852,5387,2.91,118528,5568,95.070822,16683,14.768945,2409,2055,354,1852,112960,18551,18111
8,1849,5403,2.92,118336,4803,95.769512,16986,14.961289,2064,1747,317,1849,113533,18690,18443
8,1856,5422,2.92,118784,6138,94.551071,16944,15.041812,2262,1896,366,1856,112646,18954,18474
8,1854,5435,2.93,118656,6222,94.466087,16765,14.910970,2502,2135,367,1854,112434,18963,18303
8,1847,5413,2.93,118200,4780,95.785576,17001,14.989420,2036,1786,250,1847,113420,18749,18156
8,1,5,5.00,120,0,100.000000,3,2.500000,0,0,0,1,120,3,4
8,1690,4923,2.91,108160,891,99.169378,17964,16.746684,458,394,64,1690,107269,18350,19207
8,1849,5382,2.91,118336,545,99.537316,19207,16.306000,290,276,14,1849,117791,19413,20458
8,1852,5401,2.92,118528,1072,99.087318,18650,15.878286,519,451,68,1852,117456,18980,19794
8,1852,5397,2.91,118528,630,99.465640,18827,15.968888,345,319,26,1852,117898,19089,20112
8,1846,5391,2.92,118144,720,99.386837,18645,15.878355,397,365,32,1846,117424,18925,19675
8,1852,5387,2.91,118528,1148,99.021980,18756,15.978872,594,550,44,1852,117380,19148,19879
8,1849,5403,2.92,118336,721,99.386983,18791,15.976704,363,333,30,1849,117615,19053,19873
8,1856,5422,2.92,118784,1287,98.904653,18675,15.894023,588,531,57,1856,117497,19107,19920
8,1854,5435,2.93,118656,1188,98.988661,18857,16.052882,581,524,57,1854,117468,19231,20024
8,1847,5413,2.93,118188,1147,99.020002,18568,15.864526,578,540,38,1847,117041,18970,19318
8,1,5,5.00,120,0,100.000000,4,3.333333,0,0,0,1,120,4,2
8,1690,4923,2.91,108160,5585,94.555204,16851,16.427980,2481,2086,395,1690,102575,19425,18156
8,1849,5382,2.91,118336,5434,95.186976,18222,16.139661,2376,2102,274,1849,112902,20486,19426
8,1852,5401,2.92,118528,5563,95.075466,17821,15.775683,2389,2102,287,1852,112965,20103,19031
8,1852,5397,2.91,118528,5796,94.858603,17749,15.744420,2526,2165,361,1852,112732,19965,19041
8,1846,5391,2.92,118144,5442,95.171337,17766,15.763695,2345,1993,352,1846,112702,20076,18882
8,1852,5387,2.91,118528,6045,94.625855,17677,15.715264,2314,1962,352,1852,112483,19851,18895
8,1849,5403,2.92,118336,5648,94.987931,17836,15.827772,2383,2079,304,1849,112688,19816,18901
