gvt,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
8,1,5,5.00,240,0,100.000000,10,4.166667,0,0,0,1,240,10,10
8,858,2526,2.94,109824,6796,93.403735,16155,15.680203,2648,2139,509,858,103028,18967,18349
8,935,2759,2.95,119680,6672,94.095993,17385,15.383867,2662,2172,490,935,113008,20051,19454
8,934,2749,2.94,119552,6259,94.475387,16905,14.921487,2524,2036,488,934,113293,19053,18738
8,933,2735,2.93,119424,6355,94.379538,16801,14.859068,2514,2022,492,933,113069,19049,18792
8,929,2729,2.94,118912,5410,95.233564,16948,14.931895,2230,1869,361,929,113502,18884,18775
8,931,2734,2.94,119168,6532,94.200788,16598,14.735964,2656,2219,437,931,112636,18980,18307
8,932,2743,2.94,119296,5584,95.089349,17024,14.971155,2201,1841,360,932,113712,18970,18872
8,933,2759,2.96,119424,6688,94.067556,16926,15.013838,2474,2026,448,933,112736,19052,18674
8,932,2739,2.94,119296,6848,93.910074,16804,14.943796,2633,2180,453,932,112448,19156,18482
8,929,2717,2.92,118850,5623,95.033870,16925,14.947848,2227,1835,392,929,113227,18751,18387
8,1,5,5.00,240,0,100.000000,13,5.416667,0,0,0,1,240,13,7
8,858,2526,2.94,109824,2633,97.543637,17998,16.790589,1105,852,253,858,107191,19118,20056
8,935,2759,2.95,119680,1870,98.412698,19229,16.322044,788,637,151,935,117810,19973,20840
8,934,2749,2.94,119552,2072,98.236296,18620,15.849506,882,715,167,934,117480,19302,20214
8,933,2735,2.93,119424,1767,98.498177,18758,15.942953,755,601,154,933,117657,19336,20470
8,929,2729,2.94,118912,1408,98.801743,18658,15.878608,654,562,92,929,117504,19194,19950
8,931,2734,2.94,119168,1750,98.509598,18798,16.009470,810,700,110,931,117418,19378,20204
8,932,2743,2.94,119296,1746,98.514675,18781,15.977031,749,635,114,932,117550,19361,20283
8,933,2759,2.96,119424,1885,98.396277,18643,15.861118,790,663,127,933,117539,19261,20294
8,932,2739,2.94,119296,1978,98.313984,18802,16.026526,837,726,111,932,117318,19504,20301
8,929,2717,2.92,118870,1961,98.322627,18616,15.923496,902,759,143,929,116909,19286,19684
8,1,5,5.00,240,0,100.000000,9,3.750000,0,0,0,1,240,9,12
8,858,2526,2.94,109824,7280,92.900609,16859,16.440747,2878,2272,606,858,102544,20067,18875
8,935,2759,2.95,119680,6702,94.067872,18275,16.175716,2693,2221,472,935,112978,21005,20066
8,934,2749,2.94,119552,6495,94.255110,17826,15.767268,2537,2073,464,934,113057,20392,19395
8,933,2735,2.93,119424,6953,93.817962,17684,15.723164,2788,2303,485,933,112471,20550,19281
8,929,2729,2.94,118912,6146,94.549776,17724,15.717504,2496,2035,461,929,112766,20306,19048
8,931,2734,2.94,119168,6933,93.822783,17670,15.743752,2673,2183,490,931,112235,20110,19196
8,932,2743,2.94,119296,6358,94.370362,17918,15.865342,2533,2149,384,932,112938,20322,19250
8,933,2759,2.96,119424,7412,93.382852,17576,15.691176,2934,2448,486,933,112012,20234,18964
8,932,2739,2.94,119296,6631,94.114410,17798,15.797275,2607,2188,419,932,112665,20362,19372
8,929,2717,2.92,118836,5768,94.898645,17691,15.646337,2334,1953,381,929,113068,19767,18980
8,1,5,5.00,240,0,100.000000,8,3.333333,0,0,0,1,240,8,11
8,858,2526,2.94,109824,2834,97.351154,18219,17.028694,1145,919,226,858,106990,19329,20201
8,935,2759,2.95,119680,2502,97.864787,19605,16.730956,1089,865,224,935,117178,20571,21240
